"";"position";"plate_position";"tray";"pot";"genotype";"treatment";"weight.only.";"weight";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"hits_ratio";"bacterial_load"
"117";"13_19";"p5_B1";13;19;"Col0";"#1";NA;80;0,00172747093354384;0,000531529518013488;0,000132882379503372;0,00066441189751686;0,00146170617453709;0,00797294277020232;0,00159458855404046;0,000132882379503372;0;0,000132882379503372;0,000398647138510116;0,000265764759006744;0;0,00159458855404046;0,0067043;0,0166102974379215
"157";"15_32";"p5_H5";15;32;"Col0";"#1";NA;104;0,00287090620392257;0,000239242183660214;0,000478484367320429;0,0016746952856215;0,00382787493856341;0,0174646794071956;0,00311014838758278;0,000717726550980643;0;0,000239242183660214;0,000478484367320429;0;0;0,00143545310196128;0,0348295;0,0325369369777891
"246";"19_36";"p7_C9";19;36;"Col0";"#1";NA;68;0,00458069102983417;0,000654384432833453;0,000654384432833453;0,000654384432833453;0,00523507546266762;0,0333736060745061;0,00654384432833453;0,00130876886566691;0,000654384432833453;0,00196315329850036;0,00196315329850036;0,00196315329850036;0;0,00261753773133381;0,0065731;0,062166521119178
"316";"21_41";"p8_A9";21;41;"Col0";"#1";NA;74;0,0119593849124141;0,00281397292056802;0,00422095938085203;0,00351746615071003;0,00914541199184603;0,0211047969042601;0,0288432224358222;0,000703493230142004;0,000703493230142004;0;0;0;0;0,00140698646028401;0,00494571;0,0844191876170406
"15";"1_42";"p1_B8";1;42;"Col0";"#1";NA;28;0,0792800972539456;0,00677728346961601;0,00691847687523301;0,00571833292748851;0,013978147156083;0,026685553661613;0,010730698826892;0,000705967028085001;0,001270740650553;0,000564773622468001;0,000211790108425501;0,000423580216851;0;0,001270740650553;0,0638388;0,154536182447807
"300";"20_45";"p7_F12";20;45;"Col0";"#1";NA;62;0,0311884864762803;0,000842932066926496;0,00337172826770599;0,00337172826770599;0,00421466033463248;0,0311884864762803;0,121382217637415;0;0;0;0;0,000842932066926496;0;0,0025287962007795;0,00112719;0,198931967794653
"383";"3_49";"p1_H10";3;49;"Col0";"#1";NA;128;0,00745208335038543;0,0153300000350786;0,00319375000730804;0,00830375001900092;0,0547195834585445;0,188857083765482;0,0674945834877767;0;0;0,000212916667153869;0,000425833334307739;0,000425833334307739;0,000212916667153869;0;0,00256818;0,346628334126499
"101";"12_25";"p4_G10";12;25;"Col0";"#1";NA;147;0,0044488106202949;0,00396524424852373;0,00470026513361591;0,00657650265608812;0,0227082768183748;0,265207140934188;0,0773125915187771;0,000309482477933558;0,0000967132743542368;0,000580279646125423;0,000367510442546101;0,000464223716900338;0,000135398584095932;0,00131530053121762;0,291817;0,388187740603036
"27";"10_13";"p4_A7";10;13;"Col0";"#1";NA;148;0,010407247313596;0,00717283158818362;0,00330747234344022;0,00933796408609827;0,091121527212851;0,149792632999901;0,215716268503892;0,000391849133058178;0,00018596230043439;0,000717283158818362;0,00070400013735876;0,000803622798305755;0,000212528343353588;0,00238430235199807;0,0408888;0,49225549227129
"184";"16_46";"p6_C11";16;46;"Col0";"#1";NA;29;0,0280486561363297;0,0131794890279139;0,00777251917030822;0,023655493127025;0,0415660807803439;1,10538740026427;0,0564352478887597;0;0;0,000337935616100358;0,000337935616100358;0,000675871232200715;0;0,000675871232200715;0,0419671;1,27807250009155
"261";"2_16";"p1_D7";2;16;"Col0";"#1";NA;125;0,0446104183962126;0,0138853620173642;0,0319067893164965;0,0283615905035524;0,201485465868986;1,3019742640537;0,466193643902142;0,000590866468824007;0;0,000590866468824007;0,000590866468824007;0,00147716617206002;0,000590866468824007;0,00324976557853203;0,0132688;2,09550793168434
"441";"7_4";"p3_A4";7;4;"Col0";"#1";NA;88;0,48885398040957;0,0810583744725217;0,0535173051536728;0,0306707362869001;0,558958520493914;0,24348809011437;1,67687556148174;0,00219076687763572;0;0,00406856705846634;0,009076034207348;0,0153353681434501;0,00187780018083062;0,0347393033453665;0,140729;3,20071040822579
"492";"9_42";"p3_H6";9;42;"Col0";"#1";NA;146;0,0485684632696247;0,0348589486806084;0,0124973928723045;0,0289655292993545;0,585789167576412;2,68376287270167;0,105997954261418;0,00117032441613554;0,00045977030633896;0,00158829742189823;0,00305120294206765;0,00397074355474557;0,000835946011525382;0,0097387710342707;0,127599;3,52125538434837
"464";"8_39";"p3_E6";8;39;"Col0";"#1";NA;134;0,338285881450958;0,169591595740666;0,0770191109404259;0,100199620058418;3,01361573701073;3,34980789505747;0,776920934632063;0,0025423784193927;0,0016450683890188;0,00852444528855199;0,202642515192771;2,68146147410065;0,00284148176285067;0,0376870212757035;0,0167645;10,7627851593197
"228";"18_50";"p7_A8";18;50;"Col0";"#1_boil";NA;89;0,0000309673838786396;0;0;0,0000722572290501593;0,0000825796903430389;0,000309673838786396;0,0000309673838786396;0;0,0000206449225857597;0,0000103224612928799;0,0000722572290501593;0,0000516123064643993;0;0,0000103224612928799;0,000757112;0,00069160490662295
"255";"19_8";"p7_B6";19;8;"Col0";"#2";NA;84;0,000271632167408379;0;0;0;0,000271632167408379;0,00298795384149217;0,000271632167408379;0,000814896502225138;0;0,000814896502225138;0,00706243635261786;0,00244468950667541;0,000271632167408379;0,00950712585929327;0,00489633;0,0247185272341625
"278";"2_48";"p1_E11";2;48;"Col0";"#2";NA;140;0;0;0;0,00040768291729067;0,000815365834581337;0,00203841458645334;0,000815365834581337;0,00285378042103468;0;0,000815365834581337;0,00285378042103468;0,00448451209019736;0,00203841458645334;0,00978439001497605;0,0357872;0,0269070725411841
"42";"10_35";"p4_B9";10;35;"Col0";"#2";NA;69;0,00287581139091236;0,000968385468368447;0,00108576552514038;0,00149659572384215;0,00466585725668434;0,0166386230474215;0,00510603246957909;0,010446825052702;0,00140856068126319;0,0119434207765442;0,0137628116565091;0,00988926978303535;0,00498865241280715;0,0353313970883518;0,571962;0,120608008333161
"66";"11_23";"p4_D11";11;23;"Col0";"#2";NA;130;0,000460902952552648;0,000323877750442402;0,0000747410193328618;0,000435989279441693;0,00057301448155194;0,00331351852375688;0,00117094263621483;0,00715022418284377;0,0022671442530968;0,0170160387347815;0,020030593181207;0,0209897695959787;0,00581734267140774;0,0980228468550481;0,414199;0,177646946117657
"448";"7_5";"p3_A5";7;5;"Col0";"#2";NA;115;0,00932832059993309;0,00115164451851026;0,00241845348887154;0,00138197342221231;0,0177353255850579;0,0694441644661686;0,0145107209332292;0,0247603571479705;0,00368526245923282;0,0291366063183095;0,0641465996810211;0,0586187059921719;0,00875249834067795;0,207065684428144;0,487203;0,512136317381511
"22";"1_52";"p1_C4";1;52;"Col0";"#3";NA;211;0,000343555055259445;0,000374787333010305;0,0000936968332525762;0,000312322777508587;0,000343555055259445;0,00268597588657386;0,000593413277266316;0,00149914933204122;0,000281090499757729;0,000780806943771469;0,000936968332525762;0,00162407844304466;0,000437251888512022;0,00580920366165973;0,0349662;0,0161158553194431
"163";"15_53";"p6_A5";15;53;"Col0";"#3";NA;90;0,00374677478716478;0,000374677478716478;0;0,00149870991486591;0,00412145226588128;0,0183591964571074;0,0033720973084483;0,000374677478716478;0;0,000749354957432956;0,00112403243614943;0,00149870991486591;0;0,00562016218074719;0,00227682;0,0408398451800961
"217";"18_21";"p6_H3";18;21;"Col0";"#3";NA;119;0,00159512428381711;0;0;0,000797562141908557;0,00797562141908557;0,0406756692373363;0,00398781070954277;0,00478537285145133;0;0;0,00558293499335988;0,00239268642572566;0;0,00957074570290268;0,00433333;0,0773635277651298
"123";"13_30";"p5_B5";13;30;"Col0";"#3";NA;201;0,000301428467540729;0,000100476155846909;0;0,000703333090928368;0,0220042781304732;0,0320518937151642;0,00492333163649857;0,000301428467540729;0,00150714233770365;0,00512428394819239;0,00271285620786656;0,0041195223897233;0,000301428467540729;0,0183871365199845;0,00363695;0,0925385395350038
"100";"12_24";"p4_G9";12;24;"Col0";"#3";NA;215;0,00113399801078838;0,000412362913013957;0,000721635097774424;0,0012113160569785;0,00499990032029423;0,0576534897757638;0,0492000500589778;0,00286076770903433;0,00056699900539419;0,00404631108394945;0,00327313062204829;0,00412362913013957;0,00239685943189362;0,0212882353843455;0,481827;0,153888684600396
"75";"11_42";"p4_E9";11;42;"Col0";"#3";NA;150;0,00137402312500786;0,000854122483112995;0,00105217987050152;0,00173300213964955;0,00386211905407614;0,198738209657669;0,00320605395835166;0,0119948505237173;0,00246333875564472;0,0079965670158115;0,00849171048428282;0,00810797429621755;0,00377546894709367;0,0323947614247349;0,581856;0,286044381735871
"376";"3_31";"p1_H1";3;31;"Col0";"#3";NA;123;0,00824942942722976;0;0,0164988588544595;0,00274980980907658;0,0357475275179956;0,294229649571194;0,0962433433176801;0,00824942942722976;0,00824942942722976;0,00274980980907658;0,0192486686635361;0,0164988588544595;0,00274980980907658;0,0439969569452253;0,00422238;0,555461581433469
"288";"20_1";"p7_D10";20;1;"Col0";"#3";NA;43;0,0182623344547578;0,00561917983223318;0,0168575394966996;0,00702397479029147;0,141884290763888;0,184028139505637;0,0885020823576723;0,0280958991611659;0,00421438487417489;0,0182623344547578;0,0604061831965067;0,0730493378190314;0;0,105359621854372;0,123694;0,751565302561188
"486";"9_34";"p3_G12";9;34;"Col0";"#3";NA;166;0,0160721559145253;0,00642886236581012;0,00803607795726265;0,0112505091401677;0,0353587430119556;0,385731741948607;0,0289298806461456;0,00642886236581012;0,00803607795726265;0,0417876053777658;0,0369659586034082;0,0353587430119556;0,00642886236581012;0,213759673663187;0,0169082;0,840573754329674
"427";"7_16";"p3_A9";7;16;"Col0";"#3";NA;150;0,0217512490228953;0,0076769114198454;0,0076769114198454;0,00639742618320451;0,0806075699083767;1,11699061158751;0,339063587709839;0,0358255866259452;0,0140743376030499;0,0307076456793817;0,0985203632213494;0,112594700824399;0,00639742618320451;0,313473882977021;0,493939;2,19175821036586
"52";"10_5";"p4_A5";10;5;"Col0";"#3";NA;129;0,0400021007792692;0,024424204390248;0,0253443495655579;0,029896646748671;0,0967443865900569;1,08039572189433;0,292751451828915;0,109287418190336;0,0188871904405751;0,0822803501500949;0,0850892143694625;0,0750321890323016;0,0464431170064397;0,421442633189824;0,251837;2,42802097417608
"274";"2_41";"p1_E7";2;41;"Col0";"#3";NA;148;0,00489140530652627;0,000386163576831023;0,00205953907643212;0,0036041933837562;0,0216251603025372;1,78562037926665;0,141850753889262;0,0944813551313233;0,0364280974143932;0,0436364841819056;0,0653903656767196;0,0767178305970964;0,0144167735350248;0,258987038861338;0,0297454;2,55009554019979
"231";"18_55";"p7_A12";18;55;"Col0_acd6";"#1";NA;108;0,000504127386351775;0,000532134463371317;0,000280070770195431;0,000448113232312688;0,00445312524610734;0,0309198130295756;0,00492924555543956;0;0,0000280070770195431;0,0000560141540390862;0;0;0,000140035385097716;0;0,0024227;0,04229068629951
"128";"13_38";"p5_B11";13;38;"Col0_acd6";"#1";NA;78;0,00241694176387708;0;0,000604235440969269;0;0,00725082529163124;0,0181270632290781;0,0199397695519859;0;0;0;0,00120847088193854;0;0;0,00120847088193854;0,0211802;0,0507557770414186
"249";"19_41";"p7_C12";19;41;"Col0_acd6";"#1";NA;75;0,00258805108327615;0,00305860582568999;0;0,000470554742413845;0,0124697006739669;0,151989181799672;0,0131755327875876;0;0,000235277371206922;0,000235277371206922;0,000235277371206922;0,000705832113620767;0;0,000235277371206922;0,126175;0,185398568511055
"293";"20_29";"p7_F3";20;29;"Col0_acd6";"#1";NA;77;0,0115958980726513;0,00165655686752161;0,00331311373504323;0;0,0149090118076945;0,101049968918818;0,0231917961453027;0,00993934120512968;0;0,00331311373504323;0,00662622747008645;0,00496967060256484;0;0,00662622747008645;0,00575255;0,187190926029942
"267";"2_30";"p1_D12";2;30;"Col0_acd6";"#1";NA;155;0,0121449204853239;0,00861185270777513;0,00518919329827475;0,00507878493022635;0,0244002493386962;0,194097911029086;0,0599517438502807;0;0;0;0,000110408368048399;0,000110408368048399;0,000110408368048399;0,000441633472193598;0,00735476;0,310247514216002
"365";"3_12";"p1_G2";3;12;"Col0_acd6";"#1";NA;143;0,00881025004190093;0,00792922503771081;0,00469880002234714;0,0278991251326862;0,058147650276546;0,227891801083837;0,0422892002011245;0,000293675001396697;0,000293675001396697;0,000587350002793393;0,000293675001396697;0,00146837500698349;0;0,00234940001117358;0,0466984;0,382952201821293
"93";"12_14";"p4_G3";12;14;"Col0_acd6";"#1";NA;61;0,0294408969340644;0,0528497303985555;0,00118981068436539;0,00816265469506489;0,0172937599471713;0,341780036587936;0,140895721041594;0,00047039027056306;0,000304370175070215;0,0008577704933797;0,00102379058887254;0,00130049074802728;0,000138350079577371;0,003735452148589;0,628211;0,599443224792831
"16";"1_43";"p1_B9";1;43;"Col0_acd6";"#1";NA;42;0,0207469645909311;0,0160523959608664;0,00282683702455509;0,0024734823964857;0,0590607021201688;0,304137376302578;0,196717569369486;0,0000504792325813409;0,000100958465162681;0,000100958465162681;0,000100958465162681;0,000151437697744023;0;0,000504792325813408;0,0190997;0,603024912416698
"205";"17_4";"p6_D5";17;4;"Col0_acd6";"#1";NA;89;0,0288907228433977;0,00398492728874451;0,00896608639967514;0,00996231822186129;0,0667475320864706;0,489149824693388;0,00697362275530289;0,0179321727993503;0;0,00199246364437226;0;0,00199246364437226;0;0;0,00748874;0,636592134376936
"176";"16_28";"p6_B11";16;28;"Col0_acd6";"#1";NA;44;0,0512206458701552;0,0142572931803524;0,016721516693006;0,0140812772151629;0,0209458998575549;0,591413643036844;0,392515602372667;0;0;0;0;0,00123211175632675;0,00123211175632675;0,00158414368670584;0,00322264;1,1052042454251
"328";"22_17";"p8_C6";22;17;"Col0_acd6";"#1";NA;19;0,148962011041935;0,0323088685366546;0,00853039433311012;0,0143950404371233;0,131261442800732;0,0373204752073568;1,24767680114652;0,000213259858327753;0,000106629929163876;0,000213259858327753;0,000106629929163876;0,000213259858327753;0,000106629929163876;0,000106629929163876;0,0339591;1,62152133279507
"485";"9_33";"p3_G11";9;33;"Col0_acd6";"#1";NA;76;0,184745215508655;0,193206828432715;0,0155129570274443;0,028205376413535;0,414619033278965;0,523209732471076;0,500645431340247;0,0028205376413535;0,00423080646203027;0,00987188174473727;0,0126924193860908;0,028205376413535;0,00423080646203027;0,0493594087236863;0,0179215;1,9715558113061
"61";"11_15";"p4_D6";11;15;"Col0_acd6";"#1";NA;58;0,0581797688389368;0,0426884091566516;0,0554401393131309;0,10447950782506;0,243851933519705;1,44786929866557;0,130281836813561;0,00161887199252179;0,000697360242932464;0,00333736687689108;0,00296378103246297;0,00318793253911983;0,00114566325624619;0,0117305955150425;0,433428;2,10747246558783
"28";"10_14";"p4_A8";10;14;"Col0_acd6";"#1";NA;84;0,44861288395086;0,0852191560178144;0,0548267044781571;0,0768551232811741;0,25167280526655;0,741297642995723;0,583489960171378;0,00114653033019115;0,000639049692237691;0,00298849709017038;0,00233065181874922;0,00261258550650114;0,000714232008971537;0,00811969020725537;0,225076;2,26052551281573
