"";"position";"plate_position";"genotype";"treatment";"tray";"pot";"weight.only.";"weight";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"bacterial_load"
"532";"5_44";"p2_H7";"Col0";"#1";5;44;NA;176;0,0213611769440091;0,00423540577338111;0,00714231470480105;0,00334097225602113;0,00311736387668113;0,00402495082811994;0,00397233709180465;1,31534340788233e-05;2,63068681576467e-05;0,000144687774867057;0,00043406332460117;0,000210454945261174;6,57671703941169e-05;0,00019730151118235;0,0482862565033605
"550";"6_20";"p3_A12";"Col0";"#1";6;20;NA;251;0,009266152044567;0,00863436895061922;0,00547545348088049;0,00968734077386547;0,00484367038693274;0,00863436895061922;0,00884496331526845;0,000421188729298499;0,00021059436464925;0,000631783093947749;0,00421188729298499;0,0012635661878955;0,000421188729298499;0,00358010419903724;0,0661266304998644
"46";"10_40";"p4_G11";"Col0";"#1";10;40;NA;158;0,0307957847119677;0,0219273783550402;0,0114996917595322;0,0229993835190645;0,0089658613718387;0,0142284321770484;0,0109149616700645;0,000779640119290321;0,000779640119290321;0,00672439602887901;0,0118895118191774;0,0123767868937338;0,0124742419086451;0,00146182522366935;0,167817535677242
"261";"16_42";"p7_B12";"Col0";"#1";16;42;NA;164;0,097190977852219;0,0270189374489885;0,0349123270323002;0,0151981523150561;0,00779689337813672;0,00719861690605196;0,00420723454562823;1,92992410349919e-05;0,000106145825692455;0,00116760408261701;0,00132199801089694;0,00127374990830946;0,000800918502952163;0,00277909070903883;0,200991945758923
"355";"19_26";"p8_C8";"Col0";"#1";19;26;NA;207;0,0123728638133813;0,00640379302773652;0,00593563061317617;0,0110519770008717;0,00535042759497571;0,0254479712486031;0,379729878467166;0;1,67200862342991e-05;0,000150480776108692;0,000234081207280187;0,00217361121045888;0;8,36004311714955e-05;0,448951035477164
"335";"18_42";"p8_A5";"Col0";"#1";18;42;NA;181;0,0179569090863756;0,0129537175982771;0,00685892069459332;0,0203584410006629;0,0987175164160834;0,00622215086883532;0,303575466074229;0;3,63868471861715e-05;0,000254707930303201;0,00609479690368375;0,000800510638095771;0,000181934235930857;0,000109160541558514;0,474120618835815
"291";"17_32";"p7_E8";"Col0";"#1";17;32;NA;87;0,0424557412697697;0,0068847148005032;0,00716168608558094;0,00731995539133962;0,0305855433378677;0,50784663485321;0,0487865135001175;0;3,95673264396736e-05;0,00225533760706139;0,00118701979319021;0,000910048508112493;7,91346528793472e-05;0,000751779202353799;0,656263676328426
"186";"14_37";"p6_D5";"Col0";"#1";14;37;NA;164;0,0635439631451414;0,0419542717746204;0,00439190723811453;0,00568636410829566;0,0829145855953515;0,350543543505299;0,259977793195127;0,000161807108772641;0,000300498916292047;0,00108641915890201;0,00108641915890201;0,0014100333764473;0,000392960121304985;0,000670343736343797;0,814120910138915
"464";"3_47";"p2_B5";"Col0";"#1";3;47;NA;136;0,0292655854450658;0,0252271444427897;0,00718527814690683;0,0571150941750477;0,0174649461527005;0,676045513238168;0,140558725793506;0;0,000209789142975382;0,0005769201431823;0,000891603857645373;0,000681814714669991;5,24472857438455e-05;0,000314683714463072;0,955589546252865
"612";"8_12";"p3_G9";"Col0";"#1";8;12;NA;113;0,0265949724281703;0,00671329401099447;0,00697149762680194;0,00955353378487674;0,438946146872715;0,15776240925837;0,330758831849381;0,000774610847422438;0,00025820361580748;0,00309844338968975;0,00180742531065235;0,00206562892645983;0,00180742531065235;0,00232383254226732;0,989436255774261
"411";"20_28";"p8_F11";"Col0";"#1";20;28;NA;101;0,0513187284302665;0,0171062428100888;0,0200349380771858;0,0114485360441061;0,0282219725738431;0,84319799189963;0,0427988876532572;0,000133122512140769;6,65612560703845e-05;0,000931857584985382;0,00199683768211153;0,0101173109226984;0,000133122512140769;0,00059905130463346;1,02810516126316
"105";"12_21";"p5_E3";"Col0";"#1";12;21;NA;141;0,155035373053513;0,134702058010293;0,0311153876690442;0,0466730815035662;0,0819240586729266;1,32127161214263;0,204367047807283;0;0,000492332083370953;0,00285552608355152;0,00787731333393524;0,00743421445890138;0,000541565291708049;0,00270782645854025;1,99699739656926
"62";"11_15";"p5_A8";"Col0";"#1";11;15;NA;134;0,0126597268078911;0,0055196408882405;0,0236990085843721;0,0310416501329489;0,423189347734182;1,49470862475408;0,00541836307377737;0,000101277814463128;0,000151916721694693;0,000405111257852514;0,00131661158802067;0,000810222515705027;0,000151916721694693;0,000911500330168157;2,00008491892509
"496";"4_45";"p2_E5";"Col0";"#1";4;45;NA;73;0,0385804359612329;0,0588962098344899;0,0125996866810103;0,0855606630431396;0,359628266352555;1,19902134648126;0,83236069686488;0;9,76719897752735e-05;0,000586031938651641;0,00126973586707855;0,00332084765235929;0,00029301596932582;0,00156275183640437;2,59377736047216
"597";"7_37";"p3_F3";"Col0";"#1";7;37;NA;130;0,328282993064685;0,0824736367214196;0,00891094465725685;0,0255952665687165;0,0138404034038244;2,04809531191525;0,992148370030319;9,47972835878389e-05;0;0,727948340671015;0,00407628319427707;0,002938715791223;0,000284391850763516;0,000663580985114872;4,23535303613746
"347";"19_18";"p8_B12";"Col0";"#2";19;18;NA;190;0,000208186173071338;6,93953910237793e-05;0,000104093086535669;0;8,67442387797242e-05;0,000104093086535669;0,000121441934291614;0,005031165849224;0,00706098103666955;0,0219289435635143;0,023264804840722;0,0215125712173716;0,0131851242945181;0,0183550809257896;0,111032625638047
"465";"3_48";"p2_B6";"Col0";"#2";3;48;NA;239;0,000313648556315798;0,00041819807508773;5,22747593859664e-05;0,000156824278157899;5,22747593859664e-05;0,000365923315701765;0,000261373796929831;0,0133300636434214;0,0247259611895622;0,0319921527442114;0,0421857308244748;0,0507587913637733;0,0239941145581585;0,043388050290352;0,231995382154919
"304";"17_6";"p7_C11";"Col0";"#2";17;6;NA;120;0,000171248468652565;1,90276076280628e-05;0,000114165645768377;0;0,000266386506792879;0,00013319325339644;0,000304441722049004;0,0118541995522831;0,017885951170379;0,0302729237362479;0,0479876264379744;0,0580912860884758;0,0199028775789537;0,0534104946119724;0,240413822380574
"476";"4_2";"p2_B8";"Col0";"#2";4;2;NA;180;0,00154984453320038;0;0;0,000193730566650048;0,000193730566650048;0,00116238339990029;0,000387461133300096;0,020535440064905;0,0294470461308073;0,0424269940963605;0,0414583412631102;0,0426207246630105;0,0290595849975072;0,0424269940963605;0,251462275511762
"315";"18_19";"p7_G9";"Col0";"#2";18;19;NA;198;0,000192028600768094;0,000217632414203839;6,40095335893644e-05;7,68114403072374e-05;0,000243236227639585;0,000243236227639585;0,000281641947793204;0,00844925843379611;0,0166552806399526;0,043308850426564;0,05055472962888;0,0522317794089216;0,0314030771789422;0,0542288768569097;0,258150448965907
"570";"6_44";"p3_C8";"Col0";"#2";6;44;NA;189;0,000131902884810894;0,000461660096838127;0,000329757212027234;0;0,000131902884810894;0,000527611539243575;0,000659514424054468;0,0128605312690621;0,0207747043577158;0,0495954846888962;0,0593562981649023;0,0652259765389869;0,036734953419834;0,0413515543882153;0,288141851869398
"150";"13_36";"p6_A1";"Col0";"#2";13;36;NA;250;0,00088601707292325;0,000325741570927666;0,000130296628371066;0,000104237302696853;1,30296628371066e-05;0,000312711908090559;0,000273622919579239;0,00844322151844507;0,0278053004943855;0,0357403651621835;0,0591416396176268;0,0585031861386085;0,026762927467417;0,0744384637883901;0,292880761252482
"618";"8_2";"p3_G1";"Col0";"#2";8;2;NA;171;0,000572550971728225;0,000429413228796171;0,000286275485864113;0,000143137742932056;0,00035784435733014;0,000429413228796171;0,00035784435733014;0,0201824217534199;0,0284844108434792;0,038360915105791;0,0614776605893181;0,0671316014351344;0,0396491547921798;0,0636247267332991;0,321487370625399
"78";"11_37";"p5_B11";"Col0";"#2";11;37;NA;230;0,000138945026611299;0,00010806835403101;3,08766725802886e-05;3,08766725802886e-05;0,000370520070963464;0,000540341770155051;0,000185260035481731;0,0127983807845296;0,0310156176068999;0,0531078768380964;0,0733166590418954;0,075014876033811;0,0265230617464679;0,0580018294420722;0,331183190096175
"514";"5_2";"p2_E10";"Col0";"#2";5;2;NA;123;0,000337308392138467;5,62180653564111e-05;5,62180653564111e-05;0;0,000337308392138467;0,000787052914989754;0,000787052914989754;0,0156848402344387;0,0258603100639491;0,0584667879706676;0,0814599767014396;0,0932657704262862;0,0445247077622776;0,0762879146886499;0,397911466592678
"413";"20_30";"p8_F12";"Col0";"#2";20;30;NA;115;0,000371464305410124;0,00010318452928059;4,12738117122361e-05;6,19107175683542e-05;0,000123821435136708;8,25476234244721e-05;0,000144458340992826;0,0230514238412838;0,0393133056559048;0,0551418124475473;0,0817015102843713;0,0847351354452207;0,0395609485261782;0,10031599936659;0,424748796330621
"43";"10_38";"p4_G9";"Col0";"#2";10;38;NA;178;0,000753993113827279;0,000342724142648763;6,85448285297527e-05;0,000342724142648763;0,00219343451295208;0,00171362071324381;0,00191925519883307;0,0226197934148184;0,0320789797519242;0,0520940696826118;0,0900679046880951;0,0998012703393196;0,0416067109175598;0,112961877417032;0,458564902864045
"128";"12_9";"p5_D4";"Col0";"#2";12;9;NA;179;0,000139480954830079;0,000185974606440105;9,29873032200525e-05;2,32468258050131e-05;0,000232468258050131;0,000604417470930341;0,000232468258050131;0,0192483717665509;0,0409144134168231;0,142991225526636;0,355095264171575;0,181673943666177;0,123928828366525;0,131088850714469;0,996451941306083
"541";"6_1";"p2_H11";"Col0";"#3";6;1;NA;208;0,00595129419863132;0,00235361917459996;0,00363129815509708;0,00174840281541711;0,000840578276642842;0,00386666007255708;0,00151304089795711;0,00379941381042565;0,00830491337323128;0,0403477572788564;0,0159037409940826;0,0199048935909026;0,0179883751201569;0,0125414278875112;0,138695415646069
