tray;pot;position;genotype;treatment
1;1;1_1;Tu-Wal_ics1;Control
1;10;1_10;HE;Control
1;11;1_11;sid2-2;Control
1;12;1_12;Col0;#3
1;13;1_13;Schl;#1
1;14;1_14;Col0;#1
1;15;1_15;HE;#1+s14
1;16;1_16;Tu-Wal_ics1;#3
1;17;1_17;Tu-Wal;#2
1;18;1_18;HE;#1+s17
1;19;1_19;Lu;Control
1;2;1_2;Schl;#3
1;20;1_20;Schl;Control
1;21;1_21;Tu-Wal_acd6;#2
1;22;1_22;Tu-Wal;#3
1;23;1_23;Tu-Wal_acd6;#3
1;24;1_24;Eyach;#1
1;25;1_25;Col0_acd6;#2
1;26;1_26;Tu-Wal;Control
1;27;1_27;HE;#1+s15
1;28;1_28;sid2-2;#3
1;29;1_29;Eyach;Control
1;3;1_3;Kus;#3
1;30;1_30;Tu-Wal_acd6;Control
1;31;1_31;Col0;#2
1;32;1_32;Kus;Control
1;33;1_33;Col0_acd6;#1
1;34;1_34;Col0;Control
1;35;1_35;Schl;#2
1;36;1_36;Tu-Wal_ics1;#2
1;37;1_37;Tu-Wal_ics1;#1
1;38;1_38;Col0_acd6;#3
1;39;1_39;Col0_acd6;Control
1;4;1_4;Eyach;#2
1;40;1_40;sid2-2;#2
1;41;1_41;HE;#1
1;42;1_42;sid2-2;#1
1;43;1_43;Tu-Wal_acd6;#1
1;44;1_44;Tu-Wal;#1
1;45;1_45;HE;#1+s13
1;46;1_46;Kus;#2
1;47;1_47;Eyach;#3
1;48;1_48;Lu;#1
1;5;1_5;HE;#3
1;6;1_6;Lu;#2
1;7;1_7;HE;#2
1;8;1_8;Lu;#3
1;9;1_9;Kus;#1
10;1;10_1;Tu-Wal_ics1;#3
10;10;10_10;Kus;#1
10;11;10_11;Tu-Wal_acd6;#3
10;12;10_12;Col0_acd6;#2
10;13;10_13;Tu-Wal_acd6;Control
10;14;10_14;HE;#1+s15
10;15;10_15;HE;#1+s14
10;16;10_16;HE;Control
10;17;10_17;Eyach;#2
10;18;10_18;Col0;#3
10;19;10_19;Col0_acd6;#1
10;2;10_2;HE;#3
10;20;10_20;HE;#1
10;21;10_21;HE;#2
10;22;10_22;Tu-Wal_ics1;#1
10;23;10_23;Kus;#3
10;24;10_24;sid2-2;Control
10;25;10_25;Tu-Wal;Control
10;26;10_26;Eyach;#3
10;27;10_27;Schl;#2
10;28;10_28;Lu;#1
10;29;10_29;Col0;Control
10;3;10_3;sid2-2;#3
10;30;10_30;Tu-Wal;#1
10;31;10_31;Tu-Wal_acd6;#1
10;32;10_32;Schl;#1
10;33;10_33;sid2-2;#1
10;34;10_34;Lu;Control
10;35;10_35;HE;#1+s17
10;36;10_36;Eyach;Control
10;37;10_37;Tu-Wal_ics1;#2
10;38;10_38;Col0;#2
10;39;10_39;sid2-2;#2
10;4;10_4;Lu;#3
10;40;10_40;Col0;#1
10;41;10_41;Eyach;#1
10;42;10_42;Col0_acd6;#3
10;43;10_43;Lu;#2
10;44;10_44;Kus;Control
10;45;10_45;Tu-Wal;#2
10;46;10_46;Tu-Wal;#3
10;47;10_47;Kus;#2
10;48;10_48;HE;#1+s13
10;5;10_5;Schl;Control
10;6;10_6;Tu-Wal_ics1;Control
10;7;10_7;Col0_acd6;Control
10;8;10_8;Schl;#3
10;9;10_9;Tu-Wal_acd6;#2
11;1;11_1;Col0;Control
11;10;11_10;sid2-2;#3
11;11;11_11;sid2-2;#2
11;12;11_12;sid2-2;#1
11;13;11_13;Eyach;#1
11;14;11_14;Lu;#3
11;15;11_15;Col0;#1
11;16;11_16;Kus;#3
11;17;11_17;HE;#1
11;18;11_18;Tu-Wal;Control
11;19;11_19;sid2-2;Control
11;2;11_2;Tu-Wal_ics1;#2
11;20;11_20;Tu-Wal_acd6;#1
11;21;11_21;HE;#3
11;22;11_22;Tu-Wal_ics1;Control
11;23;11_23;HE;#1+s13
11;24;11_24;Eyach;#2
11;25;11_25;Eyach;#3
11;26;11_26;HE;Control
11;27;11_27;Tu-Wal_acd6;#2
11;28;11_28;Tu-Wal;#1
11;29;11_29;Schl;Control
11;3;11_3;Tu-Wal;#2
11;30;11_30;Tu-Wal_acd6;#3
11;31;11_31;HE;#1+s15
11;32;11_32;Col0_acd6;Control
11;33;11_33;Kus;#1
11;34;11_34;Lu;Control
11;35;11_35;Tu-Wal_ics1;#3
11;36;11_36;Col0_acd6;#2
11;37;11_37;Col0;#2
11;38;11_38;HE;#1+s14
11;39;11_39;Tu-Wal_acd6;Control
11;4;11_4;HE;#1+s17
11;40;11_40;Schl;#1
11;41;11_41;Col0;#3
11;42;11_42;Col0_acd6;#3
11;43;11_43;Tu-Wal_ics1;#1
11;44;11_44;Schl;#2
11;45;11_45;Schl;#3
11;46;11_46;Lu;#2
11;47;11_47;Kus;Control
11;48;11_48;Kus;#2
11;5;11_5;Col0_acd6;#1
11;6;11_6;Lu;#1
11;7;11_7;HE;#2
11;8;11_8;Tu-Wal;#3
11;9;11_9;Eyach;Control
12;1;12_1;Tu-Wal_acd6;#1
12;10;12_10;Tu-Wal_acd6;Control
12;11;12_11;Lu;#3
12;12;12_12;Tu-Wal;#3
12;13;12_13;Eyach;#3
12;14;12_14;Eyach;#1
12;15;12_15;Schl;#2
12;16;12_16;Kus;#1
12;17;12_17;HE;#1+s15
12;18;12_18;Tu-Wal_ics1;#2
12;19;12_19;HE;#1+s17
12;2;12_2;Kus;#3
12;20;12_20;HE;#1+s14
