tray;pot;position;genotype;treatment;weight only?;weight
1;1;1_1;Col0_ics1;#3;;0.146
1;2;1_2;Eyach;Control;W;0.231
1;3;1_3;Tu-Wal_acd6;#3;;0.19
1;4;1_4;Tu-Wal_acd6;#2;;0.217
1;5;1_5;Col0_acd6;#1_boil;W;0.25
1;6;1_6;Lu;#1_boil;W;0.23
1;8;1_8;Tu-Wal;#1_boil;W;0.087
1;9;1_9;Tu-Wal_acd6;#1;;0.163
1;10;1_10;Tu-Wal;#3;;0.125
1;12;1_12;Tu-Wal;Control;W;0.075
1;13;1_13;Lu;#3;;0.212
1;14;1_14;Col0_acd6;#2;;0.174
1;15;1_15;HE;#1_boil;W;0.131
1;16;1_16;Tu-Wal_ics1;Control;W;0.098
1;17;1_17;Tu-Wal_acd6;#1_boil;W;0.102
1;18;1_18;Col0_ics1;#1;;0.122
1;19;1_19;Col0_ics1;Control;W;0.104
1;20;1_20;Schl;Control;W;0.149
1;21;1_21;Schl;#1_boil;W;0.198
1;22;1_22;Tu-Wal_ics1;#3;;0.087
1;23;1_23;Col0;Control;W;0.135
1;24;1_24;HE;Control;W;0.183
1;25;1_25;Tu-Wal_ics1;#1;;0.132
1;26;1_26;Kus;#2;;0.172
1;27;1_27;Tu-Wal;#1;;0.087
1;28;1_28;Eyach;#1_boil;W;0.389
1;29;1_29;Kus;Control;W;0.223
1;30;1_30;Eyach;#1;;0.157
1;31;1_31;Kus;#1;;0.195
1;32;1_32;Tu-Wal;#2;;0.095
1;33;1_33;Col0;#2;;0.143
1;34;1_34;Col0;#1_boil;W;0.199
1;35;1_35;HE;#1;;0.21
1;36;1_36;Kus;#1_boil;W;0.116
1;37;1_37;HE;#3;;0.21
1;38;1_38;Lu;#1;;0.12
1;39;1_39;Eyach;#3;;0.131
1;40;1_40;Tu-Wal_ics1;#1_boil;W;0.178
1;41;1_41;Tu-Wal_acd6;Control;W;0.147
1;42;1_42;Col0;#1;;0.077
1;43;1_43;Col0_acd6;#1;;0.091
1;44;1_44;Schl;#1;;0.147
1;45;1_45;Col0_acd6;Control;W;0.171
1;46;1_46;HE;#2;;0.257
1;47;1_47;Col0_ics1;#2;;0.1
1;48;1_48;Tu-Wal_ics1;#2;;0.168
1;49;1_49;Col0_acd6;#3;;0.212
1;50;1_50;Lu;Control;W;0.12
1;51;1_51;Lu;#2;;0.114
1;52;1_52;Col0;#3;;0.263
1;53;1_53;Kus;#3;;0.229
1;54;1_54;Schl;#3;;0.29
1;55;1_55;Eyach;#2;;0.199
2;1;2_1;Eyach;#1_boil;W;0.192
2;2;2_2;Tu-Wal;#2;;0.083
2;3;2_3;Tu-Wal_ics1;#1_boil;W;0.063
2;4;2_4;Col0_acd6;#2;;0.191
2;5;2_5;Eyach;#1;;0.105
2;6;2_6;Tu-Wal_acd6;#3;;0.113
2;7;2_7;Eyach;#3;;0.142
2;8;2_8;Col0_ics1;#3;;0.096
2;9;2_9;Kus;#3;;0.142
2;10;2_10;Tu-Wal_acd6;#1;;0.117
2;11;2_11;Tu-Wal_acd6;#2;;0.249
2;12;2_12;Tu-Wal_ics1;#2;;0.138
2;13;2_13;Col0;Control;W;0.128
2;14;2_14;Lu;#1;;0.092
2;15;2_15;Tu-Wal;Control;W;0.077
2;16;2_16;Col0;#1;;0.174
2;17;2_17;Col0_ics1;Control;W;0.077
2;18;2_18;Col0_ics1;#2;;0.107
2;19;2_19;Eyach;Control;W;0.204
2;20;2_20;Tu-Wal_ics1;Control;W;0.094
2;21;2_21;Lu;#3;;0.242
2;22;2_22;Tu-Wal;#1_boil;W;0.074
2;23;2_23;Schl;#3;;0.236
2;24;2_24;Tu-Wal_acd6;#1_boil;W;0.124
2;25;2_25;Schl;Control;W;0.221
2;26;2_26;Tu-Wal_ics1;#3;;0.158
2;27;2_27;Tu-Wal_acd6;Control;W;0.095
2;29;2_29;Kus;#1_boil;W;0.119
2;30;2_30;Col0_acd6;#1;;0.204
2;31;2_31;Col0_acd6;#3;;0.149
2;32;2_32;Tu-Wal_ics1;#1;;0.087
2;33;2_33;Lu;#2;;0.206
2;34;2_34;Kus;#2;;0.26
2;35;2_35;Lu;#1_boil;W;0.17
2;36;2_36;Col0_acd6;Control;W;0.209
2;37;2_37;Kus;#1;;0.123
2;38;2_38;Lu;Control;W;0.159
2;39;2_39;Col0;#1_boil;W;0.157
2;40;2_40;Eyach;#2;;0.283
2;41;2_41;Col0;#3;;0.197
2;42;2_42;HE;#2;;0.165
2;43;2_43;HE;#3;;0.245
2;44;2_44;Schl;#1_boil;W;0.171
2;45;2_45;HE;Control;W;0.264
2;46;2_46;HE;#1_boil;W;0.198
2;47;2_47;HE;#1;;0.127
2;48;2_48;Col0;#2;;0.189
2;49;2_49;Schl;#1;;0.085
2;50;2_50;Kus;Control;W;0.216
2;51;2_51;Col0_ics1;#1;;0.083
2;53;2_53;Col0_acd6;#1_boil;W;0.285
2;54;2_54;Tu-Wal;#3;;0.087
2;55;2_55;Tu-Wal;#1;;0.067
3;1;3_1;Col0_ics1;#1;;0.082
3;2;3_2;Eyach;#2;;0.229
3;3;3_3;HE;Control;W;0.142
3;4;3_4;Tu-Wal_acd6;#1;;0.096
3;5;3_5;Tu-Wal_ics1;#1;;0.15
3;6;3_6;Eyach;#3;;0.164
3;7;3_7;Tu-Wal;#1;;0.091
3;8;3_8;Tu-Wal;#2;;0.094
3;9;3_9;Kus;#2;;0.204
3;10;3_10;Col0_ics1;#2;;0.088
3;11;3_11;Tu-Wal;#3;;0.081
3;12;3_12;Col0_acd6;#1;;0.192
3;13;3_13;HE;#1;;0.143
3;14;3_14;Eyach;#1;;0.151
3;15;3_15;Eyach;#1_boil;W;0.167
3;16;3_16;Lu;#1_boil;W;0.232
3;17;3_17;Lu;#2;;0.157
3;18;3_18;Schl;#1_boil;W;0.156
3;19;3_19;HE;#1_boil;W;0.169
3;20;3_20;Col0_ics1;Control;W;0.156
3;21;3_21;HE;#2;;0.203
3;22;3_22;Schl;Control;W;0.252
3;23;3_23;Kus;#3;;0.253
3;24;3_24;Tu-Wal_acd6;#3;;0.074
3;25;3_25;Schl;#3;;0.292
3;26;3_26;Tu-Wal_acd6;#2;;0.196
3;27;3_27;Col0_acd6;#2;;0.227
3;28;3_28;Schl;#1;;0.141
3;29;3_29;Tu-Wal_acd6;#1_boil;W;0.128
3;30;3_30;Col0;Control;W;0.14
3;31;3_31;Col0;#3;;0.172
3;32;3_32;Tu-Wal_ics1;#2;;0.152
3;33;3_33;Col0;#1_boil;W;0.172
